Change Component Footprint: Designator=OC6 Old Footprint=SMD_PC817 New Footprint=SOP-4_P2.54
Change Physical Footprint: Designator=C13 Old Footprint=0603C New Footprint=0603C
Change Physical Footprint: Designator=D1 Old Footprint=SOD-123 New Footprint=SOD-123
Change Physical Footprint: Designator=D2 Old Footprint=SOD-123 New Footprint=SOD-123
Change Physical Footprint: Designator=D3 Old Footprint=LED-0603G New Footprint=LED-0603G
Change Physical Footprint: Designator=D4 Old Footprint=LED-0603G New Footprint=LED-0603G
Change Physical Footprint: Designator=D5 Old Footprint=LED-0603G New Footprint=LED-0603G
Change Physical Footprint: Designator=D6 Old Footprint=LED-0603G New Footprint=LED-0603G
Change Physical Footprint: Designator=D7 Old Footprint=LED-0603G New Footprint=LED-0603G
Change Physical Footprint: Designator=D8 Old Footprint=LED-0603G New Footprint=LED-0603G
Change Physical Footprint: Designator=D9 Old Footprint=LED-0603G New Footprint=LED-0603G
Change Physical Footprint: Designator=D10 Old Footprint=LED-0603G New Footprint=LED-0603G
Change Physical Footprint: Designator=D11 Old Footprint=SOD-123 New Footprint=SOD-123
Change Physical Footprint: Designator=J1 Old Footprint=KF128-5.08-16P New Footprint=KF128-5.08-16P
Change Physical Footprint: Designator=JK1 Old Footprint=SRD-C_B New Footprint=SRD-C_B
Change Physical Footprint: Designator=JK2 Old Footprint=SRD-C_B New Footprint=SRD-C_B
Change Physical Footprint: Designator=JK3 Old Footprint=SRD-C_B New Footprint=SRD-C_B
Change Physical Footprint: Designator=JK4 Old Footprint=SRD-C_B New Footprint=SRD-C_B
Change Physical Footprint: Designator=JK5 Old Footprint=SRD-C_B New Footprint=SRD-C_B
Change Physical Footprint: Designator=JK6 Old Footprint=SRD-C_B New Footprint=SRD-C_B
Change Physical Footprint: Designator=JK7 Old Footprint=SRD-C_B New Footprint=SRD-C_B
Change Physical Footprint: Designator=JK8 Old Footprint=SRD-C_B New Footprint=SRD-C_B
Change Physical Footprint: Designator=JP1 Old Footprint=KF128-5.08-2P New Footprint=KF128-5.08-2P
Change Physical Footprint: Designator=JP2 Old Footprint=KF128-5.08-2P New Footprint=KF128-5.08-2P
Change Physical Footprint: Designator=JP3 Old Footprint=KF128-5.08-3P New Footprint=KF128-5.08-3P
Change Physical Footprint: Designator=JP4 Old Footprint=KF128-5.08-3P New Footprint=KF128-5.08-3P
Change Physical Footprint: Designator=JP5 Old Footprint=KF128-5.08-3P New Footprint=KF128-5.08-3P
Change Physical Footprint: Designator=JP6 Old Footprint=KF128-5.08-3P New Footprint=KF128-5.08-3P
Change Physical Footprint: Designator=JP7 Old Footprint=KF128-5.08-3P New Footprint=KF128-5.08-3P
Change Physical Footprint: Designator=JP8 Old Footprint=KF128-5.08-3P New Footprint=KF128-5.08-3P
Change Physical Footprint: Designator=JP9 Old Footprint=KF128-5.08-3P New Footprint=KF128-5.08-3P
Change Physical Footprint: Designator=JP10 Old Footprint=KF128-5.08-3P New Footprint=KF128-5.08-3P
Change Physical Footprint: Designator=OC1 Old Footprint=SMD_PC817 New Footprint=SMD_PC817
Change Physical Footprint: Designator=OC2 Old Footprint=SMD_PC817 New Footprint=SMD_PC817
Change Physical Footprint: Designator=OC3 Old Footprint=SMD_PC817 New Footprint=SMD_PC817
